"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.93,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.5,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",51.88,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",44.4,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",31.14,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",3.8,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",57.25,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",48.94,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",10.81,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",26524.62,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",62.17,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",54.29,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",35.66,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",2.82,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",58.18,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",50.37,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",10.27,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",24210.46,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",73.05,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",66.7,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",37.44,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",2.47,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",60.06,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",60.66,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",7.01,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",15.9,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",6.54,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",20.38,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",25.73,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",48.36,"provisorisch"
"2022-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.36,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.33,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",38.64,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",29.93,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",28.01,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",11.48,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",17.91,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",13.65,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",37.06,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",15088.64,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",41.84,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",31.01,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",32.47,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",12.71,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",13.92,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",10.85,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",45.02,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",14077.75,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",61.43,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",50.31,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.35,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",5.95,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",18.62,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",16.68,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",21.45,"provisorisch"
